,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
0,11331,329.0,Nan
1,11332,175.0,Nan
2,11333.0,304.0,359.99
3,11334.0,329.0,339.0
4,11335.0,304.0,315.0
5,11336.0,334.0,364.99
6,11337.0,334.0,364.99
7,11338.0,156.0,278.0
8,11339,266.0,Nan
9,11340.0,949.0,3500.0
10,11341,699.0,Nan
11,11342.0,349.0,499.0
12,11343.0,228.0,289.99
13,11344.0,95.0,115.0
14,11345.0,626.0,699.99
15,11346.0,499.97,1099.0
16,11347.0,158.0,1200.0
17,11348.0,255.0,325.55
18,11349.0,239.0,249.0
19,11350.0,225.0,232.89
20,11351.0,449.98,475.0
21,11352.0,320.0,411.0
22,11353.0,349.95,375.0
23,11354.0,325.0,390.0
24,11355.0,390.0,390.0
25,11356.0,250.0,259.99
26,11357.0,383.0,385.0
27,11358.0,499.0,650.0
28,11359.0,119.0,127.0
29,11360.0,139.0,140.0
30,11361.0,79.99,127.0
31,11362.0,132.0,175.0
32,11363.0,96.95,129.94
33,11364.0,120.0,139.0
34,11365.0,425.0,475.0
35,11366.0,425.0,475.0
36,11367.0,350.0,443.0
37,11368.0,395.0,455.0
38,11369.0,435.0,450.0
39,11370.0,509.0,525.0
40,11371.0,873.0,875.0
41,11372.0,899.0,1050.0
42,11373.0,398.0,479.0
43,11374.0,59.0,65.0
44,11376.0,295.0,304.0
45,11377.0,185.0,199.0
46,11378.0,180.0,215.0
47,11379.0,119.99,162.0
48,11380.0,158.0,200.0
49,11381.0,120.0,125.0
50,11382.0,210.0,217.0
51,11383.0,312.0,315.0
52,11384.0,150.0,218.0
53,11385.0,540.0,599.0
54,11386.0,125.0,269.98
55,11388.0,260.0,297.0
56,11389.0,316.0,354.0
57,11390.0,189.0,194.99
58,11391.0,189.0,194.99
59,11392.0,199.0,239.0
60,11393.0,159.0,179.95
61,11394.0,165.0,169.0
